    DATE,State,UnempRate
2010-04-01,Tennessee,10.0
2010-04-01,Texas,8.2
2010-04-01,Utah,8.0
2010-04-01,Vermont,6.5
2010-04-01,Virginia,7.5
2010-04-01,Washington,9.2
2010-04-01,West Virginia,8.5
2010-04-01,Wisconsin,8.8
2010-04-01,Wyoming,7.2
2010-04-01,District of Columbia,10.0
2010-05-01,Alabama,10.3
2010-05-01,Alaska,8.2
2010-05-01,Arizona,10.4
2010-05-01,Arkansas,7.8
2010-05-01,California,12.5
2010-05-01,Colorado,9.0
2010-05-01,Connecticut,9.6
2010-05-01,Delaware,8.7
2010-05-01,Florida,10.8
2010-05-01,Georgia,10.6
2010-05-01,Hawaii,6.8
2010-05-01,Idaho,8.8
2010-05-01,Illinois,10.7
2010-05-01,Indiana,10.3
2010-05-01,Iowa,6.1
2010-05-01,Kansas,6.9
2010-05-01,Kentucky,10.3
2010-05-01,Louisiana,7.4
2010-05-01,Maine,8.5
2010-05-01,Maryland,7.9
2010-05-01,Massachusetts,8.1
2010-05-01,Michigan,12.5
2010-05-01,Minnesota,7.4
2010-05-01,Mississippi,10.3
2010-05-01,Missouri,9.5
2010-05-01,Montana,7.2
2010-05-01,Nebraska,4.7
2010-05-01,Nevada,13.7
2010-05-01,New Hampshire,6.1
2010-05-01,New Jersey,9.7
2010-05-01,New Mexico,7.9
2010-05-01,New York,8.8
2010-05-01,North Carolina,10.8
2010-05-01,North Dakota,3.7
2010-05-01,Ohio,10.4
2010-05-01,Oklahoma,6.6
2010-05-01,Oregon,10.8
2010-05-01,Pennsylvania,8.3
2010-05-01,Rhode Island,11.7
2010-05-01,South Carolina,11.3
2010-05-01,South Dakota,4.9
2010-05-01,Tennessee,9.8
2010-05-01,Texas,8.2
2010-05-01,Utah,8.0
2010-05-01,Vermont,6.4
2010-05-01,Virginia,7.4
2010-05-01,Washington,9.1
2010-05-01,West Virginia,8.2
2010-05-01,Wisconsin,8.6
2010-05-01,Wyoming,7.0
2010-05-01,District of Columbia,9.8
2010-06-01,Alabama,10.1
2010-06-01,Alaska,8.0
2010-06-01,Arizona,10.3
2010-06-01,Arkansas,7.7
2010-06-01,California,12.4
2010-06-01,Colorado,9.0
2010-06-01,Connecticut,9.5
2010-06-01,Delaware,8.6
2010-06-01,Florida,10.8
2010-06-01,Georgia,10.5
2010-06-01,Hawaii,6.8
2010-06-01,Idaho,8.7
2010-06-01,Illinois,10.4
2010-06-01,Indiana,10.1
2010-06-01,Iowa,6.0
2010-06-01,Kansas,6.8
2010-06-01,Kentucky,10.1
2010-06-01,Louisiana,7.4
2010-06-01,Maine,8.3
2010-06-01,Maryland,7.8
2010-06-01,Massachusetts,8.0
2010-06-01,Michigan,12.4
2010-06-01,Minnesota,7.3
2010-06-01,Mississippi,9.9
2010-06-01,Missouri,9.4
2010-06-01,Montana,7.1
2010-06-01,Nebraska,4.6
2010-06-01,Nevada,13.7
2010-06-01,New Hampshire,6.0
2010-06-01,New Jersey,9.6
2010-06-01,New Mexico,7.8
2010-06-01,New York,8.7
2010-06-01,North Carolina,10.6
2010-06-01,North Dakota,3.7
2010-06-01,Ohio,10.2
2010-06-01,Oklahoma,6.4
2010-06-01,Oregon,10.7
2010-06-01,Pennsylvania,8.1
2010-06-01,Rhode Island,11.6
2010-06-01,South Carolina,11.2
2010-06-01,South Dakota,4.7
