State,date,DelinqRate
Arkansas,2015-10-01,3.0
Arkansas,2015-11-01,2.8
Arkansas,2015-12-01,3.1
Arkansas,2016-01-01,3.2
Arkansas,2016-02-01,2.6
Arkansas,2016-03-01,2.4
Arkansas,2016-04-01,2.2
Arkansas,2016-05-01,2.6
Arkansas,2016-06-01,2.5
Arkansas,2016-07-01,2.7
Arkansas,2016-08-01,2.8
Arkansas,2016-09-01,2.9
Arkansas,2016-10-01,3.0
Arkansas,2016-11-01,2.8
Arkansas,2016-12-01,2.9
Arkansas,2017-01-01,3.0
Arkansas,2017-02-01,2.8
Arkansas,2017-03-01,2.6
Arkansas,2017-04-01,2.4
Arkansas,2017-05-01,2.6
Arkansas,2017-06-01,2.6
Arkansas,2017-07-01,2.6
Arkansas,2017-08-01,2.7
Arkansas,2017-09-01,2.7
Arkansas,2017-10-01,2.9
Arkansas,2017-11-01,3.0
Arkansas,2017-12-01,3.2
Arkansas,2018-01-01,3.5
Arkansas,2018-02-01,2.9
Arkansas,2018-03-01,2.6
Arkansas,2018-04-01,2.4
Arkansas,2018-05-01,2.5
Arkansas,2018-06-01,2.4
Arkansas,2018-07-01,2.6
Arkansas,2018-08-01,2.7
Arkansas,2018-09-01,2.7
Arkansas,2018-10-01,2.9
Arkansas,2018-11-01,2.8
Arkansas,2018-12-01,2.9
Arkansas,2019-01-01,3.0
Arkansas,2019-02-01,2.4
Arkansas,2019-03-01,2.3
Arkansas,2019-04-01,2.1
Arkansas,2019-05-01,2.4
Arkansas,2019-06-01,2.4
Arkansas,2019-07-01,2.4
Arkansas,2019-08-01,2.4
Arkansas,2019-09-01,2.4
California,2010-01-01,3.5
California,2010-02-01,3.4
California,2010-03-01,3.3
California,2010-04-01,3.1
California,2010-05-01,3.1
California,2010-06-01,3.1
California,2010-07-01,3.1
California,2010-08-01,3.1
California,2010-09-01,3.0
California,2010-10-01,3.0
California,2010-11-01,3.0
California,2010-12-01,3.0
California,2011-01-01,3.0
California,2011-02-01,2.8
California,2011-03-01,2.7
California,2011-04-01,2.5
California,2011-05-01,2.6
California,2011-06-01,2.5
